order_id,date_id,price_inr,rating,rating_count,location_id,restaurant_id,category_id,dish_id,date_id,full_date,year,month,month_name,quarter,day,week,location_id,state,city,location,restaurant_id,restaurant_name,category_id,category,dish_id,dish_name
404,30,179.00,4.00,10,6,9,2,350,30,2025-02-16,2025,2,February,1,16,7,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,350,"Classic Herbed Chicken & Capsicum"
405,91,199.00,4.00,3,6,9,2,351,91,2025-04-09,2025,4,April,2,9,14,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,351,"Chatpata Chicken Feast"
408,58,749.00,5.00,7,6,9,2,353,58,2025-02-24,2025,2,February,1,24,8,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,353,"Bold BBQ Veggie Thin n Crispy"
410,111,199.00,4.00,2,6,9,2,354,111,2025-06-17,2025,6,June,2,17,24,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,354,"Spicy Schezwan Pasta Chicken"
412,48,179.00,4.00,13,6,9,2,355,48,2025-02-21,2025,2,February,1,21,7,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,355,"Spicy Red Schezwan Pasta"
415,51,109.00,4.00,13,6,9,2,357,51,2025-05-24,2025,5,May,2,24,20,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,357,"Sprinkled Fries - New"
419,97,209.00,3.00,11,6,9,2,359,97,2025-01-13,2025,1,January,1,13,2,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,359,"Spicy Baked Chicken Wings 4pc"
424,30,20.00,4.00,44,1,8,2,362,30,2025-02-16,2025,2,February,1,16,7,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",8,"Appu Donne Biriyani Palace",2,Recommended,362,"Boiled egg"
427,46,230.00,4.00,7,1,8,2,364,46,2025-08-29,2025,8,August,3,29,34,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",8,"Appu Donne Biriyani Palace",2,Recommended,364,"Egg boti fry"
450,190,279.00,4.00,134,7,13,2,386,190,2025-06-03,2025,6,June,2,3,22,7,Karnataka,Bengaluru,"Jawaharlal Nehru Road",13,"Olio - The Wood Fired Pizzeria",2,Recommended,386,"Margherita Pizza"
537,175,60.00,4.00,37,6,11,2,473,175,2025-02-02,2025,2,February,1,2,5,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,473,"Kara Kozhukattai (2 Pcs)"
539,54,60.00,5.00,50,6,11,2,475,54,2025-08-10,2025,8,August,3,10,32,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,475,"Sweet Kozhukattai (2 Pcs)"
541,164,240.00,4.00,82,6,11,2,477,164,2025-04-11,2025,4,April,2,11,14,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,477,"Green Peas Masala"
542,183,290.00,5.00,21,6,11,2,478,183,2025-01-23,2025,1,January,1,23,3,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,478,"Palak Mushroom"
543,196,310.00,4.00,201,6,11,2,479,196,2025-01-10,2025,1,January,1,10,1,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,479,"Kadai Panneer"
544,30,280.00,4.00,72,6,11,2,480,30,2025-02-16,2025,2,February,1,16,7,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,480,"Malai Koftha"
545,17,250.00,4.00,153,6,11,2,481,17,2025-04-10,2025,4,April,2,10,14,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,481,"Veg Mix Masala Curry"
546,186,240.00,4.00,31,6,11,2,482,186,2025-02-03,2025,2,February,1,3,5,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,482,"Dhal Makhani"
547,1,290.00,4.00,96,6,11,2,483,1,2025-06-29,2025,6,June,2,29,26,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,483,"Kadai Vegetable"
548,46,309.00,4.00,0,5,12,2,484,46,2025-08-29,2025,8,August,3,29,34,5,Karnataka,Bengaluru,"Kengeri Satellite Town",12,"Big Bowl",2,Recommended,484,"Chicken Fried Rice Bowl."
549,44,309.00,4.00,0,5,12,2,485,44,2025-08-08,2025,8,August,3,8,31,5,Karnataka,Bengaluru,"Kengeri Satellite Town",12,"Big Bowl",2,Recommended,485,"Chicken Chilli Garlic Fried Rice Bowl."
551,113,309.00,4.00,0,5,12,2,487,113,2025-05-08,2025,5,May,2,8,18,5,Karnataka,Bengaluru,"Kengeri Satellite Town",12,"Big Bowl",2,Recommended,487,"Chicken Chilli Garlic Noodles Bowl."
553,99,259.00,4.00,32,5,12,2,489,99,2025-06-09,2025,6,June,2,9,23,5,Karnataka,Bengaluru,"Kengeri Satellite Town",12,"Big Bowl",2,Recommended,489,"Veg Hakka Noodles Bowl"
555,41,259.00,4.00,32,5,12,2,491,41,2025-08-07,2025,8,August,3,7,31,5,Karnataka,Bengaluru,"Kengeri Satellite Town",12,"Big Bowl",2,Recommended,491,"Veg Chilli Garlic Noodles Bowl"
557,80,310.00,4.00,147,6,11,2,493,80,2025-05-27,2025,5,May,2,27,21,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,493,"Paneer Tikka Masala"
