state,city,restaurant_name,location,category,dish_name,price_inr,rating,rating_count,order_date,id
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"Salad & Papad","Green Salad",104.00,4,0,2025-05-23,110
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Yellow boti [100 gms]",50.00,4,0,2025-06-07,111
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Salted moong dal 200 gms",80.00,4,0,2025-08-09,112
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"Salad & Papad","Cucumber Salad",91.00,4,0,2025-06-20,113
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Special garlic nippat 20 pcs",70.00,4,0,2025-02-15,114
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Nippat masala 20 pcs",60.00,4,0,2025-04-27,115
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"Salad & Papad","Roasted Papad",39.00,3,24,2025-01-29,116
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Spanish tomato potato chips",65.00,4,0,2025-01-06,117
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Maxican pepper potato chips [500 gms]",245.00,4,0,2025-04-09,118
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Salted potato chips [500 gms]",245.00,4,0,2025-05-04,119
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Banana chips pepper [250 gms]",95.00,4,0,2025-08-21,120
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Beverages,Tea,49.00,5,71,2025-02-05,121
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Banana chips masala [250 gms]",95.00,4,0,2025-02-06,122
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Chicken Tikka",239.00,4,0,2025-05-28,123
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Spanish tomato potato chips [250 gms]",95.00,4,0,2025-01-24,124
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Beverages,Coffee,49.00,5,99,2025-01-13,125
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Palak Chicken",239.00,4,0,2025-07-06,126
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Maxican pepper potato chips [250 gms]",95.00,4,0,2025-04-03,127
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Lemon Chicken",239.00,4,3,2025-06-13,128
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Beverages,"Badam Milk",52.00,4,25,2025-06-09,129
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Salted potato chips [250 gms]",95.00,4,0,2025-08-29,130
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Masala peanuts [250 gms]",95.00,4,0,2025-02-15,131
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Banana chips pepper",65.00,4,0,2025-06-30,132
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Sweets,"Gulab Jamun",52.00,4,37,2025-02-16,133
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Banana chips masala",65.00,4,0,2025-04-05,134
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Spanish tomato potato chips [500 gms]",245.00,4,0,2025-04-09,135
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Chciken Lolypop",239.00,4,0,2025-05-27,136
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Maxican pepper potato chips",65.00,4,0,2025-07-07,137
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Chicken 88",239.00,4,0,2025-02-16,138
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"Ice Cream Soda","Vannila Soda",117.00,4,0,2025-07-06,139
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Garlic Chicken",239.00,4,0,2025-07-14,140
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Salted potato chips",65.00,4,0,2025-08-13,141
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"Ice Cream Soda","Strawberry Soda",117.00,4,0,2025-08-31,142
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Banana chips [500 gms]",245.00,4,0,2025-04-26,143
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Banana chips [250 gms]",95.00,4,0,2025-07-10,144
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Chicken Raja",239.00,4,3,2025-05-27,145
